City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Emiliano Zapata,MX,82.89,broken clouds,18.8333,-99.1833,Parador De Manolos Hotel
241,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
243,Pijijiapan,MX,82.53,clear sky,15.7011,-93.23,Hotel Rosita
245,Young,UY,79.23,clear sky,-32.6833,-57.6333,Posada Gira el Sol
248,Salinopolis,BR,79.74,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
250,Lima,PE,75.13,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
255,Isla Mujeres,MX,77.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
258,Buchanan,LR,78.76,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
259,Pisco,PE,75.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
260,Conde,BR,81.86,few clouds,-7.2597,-34.9075,Pousada Beija Flor
264,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
272,Yulara,AU,75.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
274,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
281,Srandakan,ID,75.78,overcast clouds,-7.9386,110.2506,Puri Brata
283,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
285,Faanui,PF,81.77,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
286,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
287,Hambantota,LK,75.72,overcast clouds,6.1241,81.1185,Bungalow 63
298,Vao,NC,80.76,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
300,Caravelas,BR,78.85,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
302,Cap Malheureux,MU,75.69,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
303,Harper,LR,79.09,clear sky,4.375,-7.7169,Screensaver
307,Sao Mateus,BR,78.51,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
311,Oriximina,BR,77.02,light rain,-1.7656,-55.8661,Pousada Tia Amélia
313,Boueni,YT,78.78,light rain,-12.9025,45.0761,The feet in water
315,Nisia Floresta,BR,83.21,clear sky,-6.0911,-35.2086,Rancho Crepusculo
319,Quatre Cocos,MU,75.31,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
326,Hobyo,SO,76.28,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
328,Cururupu,BR,77.7,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
333,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
335,Kavieng,PG,81.43,light rain,-2.5744,150.7967,Nusa Island Retreat
